"대한적십자사","서울동부",남,201327,65626,32.6,17467,8.7,1864,0.9,38918,19.3,479,0.2,6898,3.4,135701,67.4,3656,1.8,131984,65.6,61,0.0,201187,59546,29.6,16922,8.4,1977,1.0,34258,17.0,666,0.3,5723,2.8,141641,70.4,3499,1.7,137771,68.5,371,0.2,186199,50529,27.1,15904,8.5,2065,1.1,25579,13.7,460,0.2,6521,3.5,135670,72.9,3824,2.1,131824,70.8,22,0.0,171190,46925,27.4,1865,1.1,1728,1.0,35223,20.6,135,0.1,7974,4.7,124265,72.6,3734,2.2,119841,70.0,690,0.4,167635,42865,25.6,3200,1.9,2219,1.3,29254,17.5,485,0.3,7707,4.6,124770,74.4,3710,2.2,119476,71.3,1584,0.9
"대한적십자사","서울동부",여,78459,14270,18.2,9445,12.0,1398,1.8,243,0.3,818,1.0,2366,3.0,64189,81.8,1347,1.7,62812,80.1,30,0.0,77858,13810,17.7,8575,11.0,1365,1.8,203,0.3,1264,1.6,2403,3.1,64048,82.3,1216,1.6,62710,80.5,122,0.2,73657,14348,19.5,8823,12.0,1411,1.9,255,0.3,570,0.8,3289,4.5,59309,80.5,1468,2.0,57834,78.5,7,0.0,60598,5222,8.6,953,1.6,301,0.5,495,0.8,77,0.1,3396,5.6,55376,91.4,1257,2.1,53536,88.3,583,1.0,62920,7512,11.9,1948,3.1,573,0.9,545,0.9,363,0.6,4083,6.5,55408,88.1,1313,2.1,53005,84.2,1090,1.7
"대한적십자사","부산",계,215205,58352,27.1,22798,10.6,4441,2.1,18221,8.5,1991,0.9,10901,5.1,156853,72.9,1032,0.5,155790,72.4,31,0.0,223597,56712,25.4,22086,9.9,3928,1.8,18000,8.1,2750,1.2,9948,4.4,166885,74.6,933,0.4,165904,74.2,48,-,213561,52437,24.6,21751,10.2,4630,2.2,14904,7.0,2445,1.1,8707,4.1,161124,75.4,1018,0.5,160106,75.0,0,0.0,197302,36215,18.4,7026,3.6,817,0.4,16502,8.4,424,0.2,11446,5.8,161087,81.6,1624,0.8,159427,80.8,36,-,194786,37119,19.1,8547,4.4,3321,1.7,14872,7.6,1389,0.7,8990,4.6,157667,80.9,1785,0.9,155860,80.0,22,0.0
"대한적십자사","부산",남,151757,46922,30.9,16285,10.7,2811,1.9,18119,11.9,875,0.6,8832,5.8,104835,69.1,858,0.6,103959,68.5,18,0.0,156593,45449,29.0,16020,10.2,2399,1.5,17879,11.4,1214,0.8,7937,5.1,111144,71.0,767,0.5,110341,70.5,36,-,149783,40833,27.3,15513,10.4,2784,1.9,14689,9.8,1384,0.9,6463,4.3,108950,72.7,802,0.5,108148,72.2,0,0.0,138067,30467,22.1,5604,4.1,542,0.4,16120,11.7,232,0.2,7969,5.8,107600,77.9,1227,0.9,106352,77.0,21,-,135511,30392,22.4,6912,5.1,2149,1.6,14581,10.8,802,0.6,5948,4.4,105119,77.6,1329,1.0,103773,76.6,17,0.0
"대한적십자사","부산",여,63448,11430,18.0,6513,10.3,1630,2.6,102,0.2,1116,1.8,2069,3.3,52018,82.0,174,0.3,51831,81.7,13,0.0,67004,11263,16.8,6066,9.1,1529,2.3,121,0.2,1536,2.3,2011,3.0,55741,83.2,166,0.2,55563,82.9,12,-,63778,11604,18.2,6238,9.8,1846,2.9,215,0.3,1061,1.7,2244,3.5,52174,81.8,216,0.3,51958,81.5,0,0.0,59235,5748,9.7,1422,2.4,275,0.5,382,0.6,192,0.3,3477,5.9,53487,90.3,397,0.7,53075,89.6,15,-,59275,6727,11.3,1635,2.8,1172,2.0,291,0.5,587,1.0,3042,5.1,52548,88.7,456,0.8,52087,87.9,5,0.0
"대한적십자사","대구·경북",계,240774,83547,34.7,35050,14.6,12401,5.2,22448,9.3,721,0.3,12927,5.4,157227,65.3,3011,1.3,154211,64.0,5,0.0,246155,79745,32.4,33960,13.8,13129,5.3,19547,7.9,735,0.3,12374,5.0,166410,67.6,3215,1.3,163195,66.3,-,-,232481,70360,30.3,27395,11.8,12360,5.3,18505,8.0,168,0.1,11932,5.1,162121,69.7,3307,1.4,158814,68.3,0,0.0,196373,41089,20.9,7646,3.9,2375,1.2,10274,5.2,446,0.2,20348,10.4,155284,79.1,3569,1.8,151715,77.3,-,-,225330,53149,23.6,11567,5.1,7515,3.3,13164,5.8,521,0.2,20382,9.0,172181,76.4,3023,1.3,168644,74.8,514,0.2
"대한적십자사","대구·경북",남,172578,63948,37.1,23705,13.7,7581,4.4,22250,12.9,165,0.1,10247,5.9,108630,62.9,2647,1.5,105979,61.4,4,0.0,176709,60407,34.2,23152,13.1,8287,4.7,19344,10.9,142,0.1,9482,5.4,116302,65.8,2866,1.6,113436,64.2,-,-,167290,53396,31.9,18759,11.2,7552,4.5,18309,10.9,88,0.1,8688,5.2,113894,68.1,2839,1.7,111055,66.4,0,0.0,139286,30589,22.0,5073,3.6,1405,1.0,10138,7.3,285,0.2,13688,9.8,108697,78.0,3051,2.2,105646,75.8,-,-,159155,38092,23.9,7620,4.8,4065,2.6,12858,8.1,347,0.2,13202,8.3,121063,76.1,2530,1.6,118245,74.3,288,0.2
"대한적십자사","대구·경북",여,68196,19599,28.7,11345,16.6,4820,7.1,198,0.3,556,0.8,2680,3.9,48597,71.2,364,0.5,48232,70.7,1,0.0,69446,19338,27.8,10808,15.6,4842,7.0,203,0.3,593,0.9,2892,4.2,50108,72.2,349,0.5,49759,71.7,-,-,65191,16964,26.0,8636,13.2,4808,7.4,196,0.3,80,0.1,3244,5.0,48227,74.0,468,0.7,47759,73.3,0,0.0,57087,10500,18.4,2573,4.5,970,1.7,136,0.2,161,0.3,6660,11.7,46587,81.6,518,0.9,46069,80.7,-,-,66175,15057,22.8,3947,6.0,3450,5.2,306,0.5,174,0.3,7180,10.9,51118,77.2,493,0.7,50399,76.2,226,0.3
"대한적십자사","인천",계,163533,48240,29.5,24107,14.7,1596,1.0,15578,9.5,814,0.5,6145,3.8,115293,70.5,4439,2.7,110157,67.4,697,0.4,157317,40795,25.9,21747,13.8,1354,0.9,10689,6.8,1079,0.7,5926,3.8,116522,74.1,4827,3.1,111262,70.7,433,0.3,158392,44065,27.8,20129,12.7,2789,1.8,14236,9.0,249,0.2,6662,4.2,114327,72.2,4566,2.9,109761,69.3,0,0.0,165074,32280,19.6,3226,2.0,223,0.1,18942,11.5,60,-,9829,6.0,132794,80.4,6769,4.1,125912,76.3,113,0.1,166763,27681,16.6,4085,2.4,623,0.4,14171,8.5,482,0.3,8320,5.0,139082,83.4,7785,4.7,130964,78.5,333,0.2
"대한적십자사","인천",남,115780,37229,32.2,15862,13.7,1131,1.0,15474,13.4,205,0.2,4557,3.9,78551,67.8,3472,3.0,74684,64.5,395,0.3,110801,30789,27.8,14641,13.2,902,0.8,10614,9.6,282,0.3,4350,3.9,80012,72.2,3727,3.4,75956,68.6,329,0.3,112002,33756,30.1,13105,11.7,2002,1.8,14099,12.6,119,0.1,4431,4.0,78246,69.9,3527,3.1,74719,66.7,0,0.0,119383,28014,23.5,2233,1.9,178,0.1,18663,15.6,28,-,6912,5.8,91369,76.5,5013,4.2,86281,72.3,75,0.1,119848,23165,19.3,2747,2.3,417,0.3,13914,11.6,251,0.2,5836,4.9,96683,80.7,5778,4.8,90698,75.7,207,0.2
"대한적십자사","인천",여,47753,11011,23.1,8245,17.3,465,1.0,104,0.2,609,1.3,1588,3.3,36742,76.9,967,2.0,35473,74.3,302,0.6,46516,10006,21.5,7106,15.3,452,1.0,75,0.2,797,1.7,1576,3.4,36510,78.5,1100,2.4,35306,75.9,104,0.2,46390,10309,22.2,7024,15.1,787,1.7,137,0.3,130,0.3,2231,4.8,36081,77.8,1039,2.2,35042,75.5,0,0.0,45691,4266,9.3,993,2.2,45,0.1,279,0.6,32,0.1,2917,6.4,41425,90.7,1756,3.8,39631,86.7,38,0.1,46915,4516,9.6,1338,2.9,206,0.4,257,0.5,231,0.5,2484,5.3,42399,90.4,2007,4.3,40266,85.8,126,0.3
"대한적십자사","울산",계,86261,33482,38.8,19986,23.2,2153,2.5,3953,4.6,515,0.6,6875,8.0,52779,61.2,673,0.8,52106,60.4,0,0.0,86711,31374,36.2,18465,21.3,2681,3.1,3848,4.4,307,0.4,6073,7.0,55337,63.8,809,0.9,54528,62.9,-,-,91599,34826,38.0,18323,20.0,3766,4.1,3851,4.2,207,0.2,8679,9.5,56773,62.0,1182,1.3,55591,60.7,0,0.0,82518,27912,33.8,7270,8.8,810,1.0,3559,4.3,264,0.3,16009,19.4,54606,66.2,1740,2.1,52866,64.1,-,-,83549,27786,33.3,10115,12.1,1302,1.6,3018,3.6,260,0.3,13091,15.7,55763,66.7,2075,2.5,53688,64.3,-,-
"대한적십자사","울산",남,65900,26406,40.1,14569,22.1,1636,2.5,3948,6.0,229,0.3,6024,9.1,39494,60.0,571,0.9,38923,59.1,0,0.0,66006,24193,36.7,13203,20.0,1946,2.9,3840,5.8,148,0.2,5056,7.7,41813,63.3,695,1.1,41118,62.3,-,-,68561,26594,38.8,13013,19.0,2500,3.6,3836,5.6,150,0.2,7095,10.3,41967,61.2,974,1.4,40993,59.8,0,0.0,63660,23243,36.5,5234,8.2,630,1.0,3484,5.5,166,0.3,13729,21.6,40417,63.5,1367,2.1,39050,61.3,-,-,63842,22091,34.6,7213,11.3,877,1.4,2995,4.7,190,0.3,10816,16.9,41751,65.4,1602,2.5,40149,62.9,-,-
