"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"대한적십자사","서울동부",여,78459,33905,43.2,25541,32.6,8652,11.0,7277,9.3,2662,3.4,422,0.5,77858,31397,40.3,24578,31.6,9620,12.4,8342,10.7,3345,4.3,576,0.7,73657,28177,38.3,22517,30.6,9434,12.8,8810,12.0,3981,5.4,738,1.0,60598,14867,24.5,21496,35.5,9626,15.9,9093,15.0,4649,7.7,867,1.4,62920,13897,22.1,22570,35.9,9811,15.6,9954,15.8,5632,9.0,1056,1.7
"대한적십자사","부산",계,215205,68611,31.9,83907,39.0,30881,14.3,20858,9.7,9060,4.2,1888,0.9,223597,68909,30.8,85500,38.2,32724,14.6,23509,10.5,10697,4.8,2258,1.0,213561,65107,30.5,77923,36.5,31172,14.6,24910,11.7,11900,5.6,2549,1.2,197302,44895,22.8,71958,36.5,31526,16.0,30392,15.4,15385,7.8,3146,1.6,194786,46708,24.0,70506,36.2,28814,14.8,29222,15.0,15999,8.2,3537,1.8
"대한적십자사","부산",남,151757,42817,28.2,60373,39.8,24215,16.0,15870,10.5,6989,4.6,1493,1.0,156593,42584,27.2,61178,39.1,25486,16.3,17548,11.2,8071,5.2,1726,1.1,149783,40385,27.0,55765,37.2,23919,16.0,18834,12.6,8933,6.0,1947,1.3,138067,28138,20.4,49938,36.2,23435,17.0,22665,16.4,11447,8.3,2444,1.8,135511,30332,22.4,48071,35.5,21069,15.5,21569,15.9,11734,8.7,2736,2.0
"대한적십자사","부산",여,63448,25794,40.7,23534,37.1,6666,10.5,4988,7.9,2071,3.3,395,0.6,67004,26325,39.3,24322,36.3,7238,10.8,5961,8.9,2626,3.9,532,0.8,63778,24722,38.8,22158,34.7,7253,11.4,6076,9.5,2967,4.7,602,0.9,59235,16757,28.3,22020,37.2,8091,13.7,7727,13.0,3938,6.6,702,1.2,59275,16376,27.6,22435,37.8,7745,13.1,7653,12.9,4265,7.2,801,1.4
"대한적십자사","대구·경북",계,240774,77192,32.1,97039,40.3,31714,13.2,24231,10.1,9285,3.9,1313,0.5,246155,78570,31.9,94578,38.4,33141,13.5,27473,11.2,10800,4.4,1593,0.6,232481,70675,30.4,84831,36.5,32717,14.1,29546,12.7,12793,5.5,1919,0.8,196373,39810,20.3,68550,34.9,33455,17.0,34308,17.5,17548,8.9,2702,1.4,225330,50044,22.2,81088,36.0,34537,15.3,37005,16.4,19425,8.6,3231,1.4
"대한적십자사","대구·경북",남,172578,47374,27.5,72803,42.2,24679,14.3,18961,11.0,7599,4.4,1162,0.7,176709,48723,27.6,70615,40.0,25791,14.6,21469,12.1,8710,4.9,1401,0.8,167290,43955,26.3,62946,37.6,25683,15.4,23009,13.8,10072,6.0,1625,1.0,139286,23789,17.1,48737,35.0,25507,18.3,25820,18.5,13305,9.6,2128,1.5,159155,31731,19.9,56709,35.6,26075,16.4,27491,17.3,14609,9.2,2540,1.6
"대한적십자사","대구·경북",여,68196,29818,43.7,24236,35.5,7035,10.3,5270,7.7,1686,2.5,151,0.2,69446,29847,43.0,23963,34.5,7350,10.6,6004,8.6,2090,3.0,192,0.3,65191,26720,41.0,21885,33.6,7034,10.8,6537,10.0,2721,4.2,294,0.5,57087,16021,28.1,19813,34.7,7948,13.9,8488,14.9,4243,7.4,574,1.0,66175,18313,27.7,24379,36.8,8462,12.8,9514,14.4,4816,7.3,691,1.0
"대한적십자사","인천",계,163533,52387,32.0,59377,36.3,24198,14.8,18435,11.3,7757,4.7,1379,0.8,157317,46763,29.7,54043,34.4,25633,16.3,20363,12.9,8859,5.6,1656,1.1,158392,43654,27.6,53263,33.6,25723,16.2,22747,14.4,10950,6.9,2055,1.3,165074,27955,16.9,59398,36.0,29924,18.1,29620,17.9,15326,9.3,2851,1.7,166763,28249,16.9,57128,34.3,29875,17.9,31141,18.7,16895,10.1,3475,2.1
"대한적십자사","인천",남,115780,31190,26.9,44968,38.8,18258,15.8,14096,12.2,6149,5.3,1119,1.0,110801,27676,25.0,40030,36.1,19254,17.4,15466,14.0,7026,6.3,1349,1.2,112002,25858,23.1,39663,35.4,19254,17.2,17113,15.3,8485,7.6,1629,1.5,119383,16723,14.0,44042,36.9,22183,18.6,22266,18.7,11844,9.9,2325,1.9,119848,17492,14.6,41484,34.6,22157,18.5,23254,19.4,12696,10.6,2765,2.3
"대한적십자사","인천",여,47753,21197,44.4,14409,30.2,5940,12.4,4339,9.1,1608,3.4,260,0.5,46516,19087,41.0,14013,30.1,6379,13.7,4897,10.5,1833,3.9,307,0.7,46390,17796,38.4,13600,29.3,6469,13.9,5634,12.1,2465,5.3,426,0.9,45691,11232,24.6,15356,33.6,7741,16.9,7354,16.1,3482,7.6,526,1.2,46915,10757,22.9,15644,33.3,7718,16.5,7887,16.8,4199,9.0,710,1.5
